timestamp,encoderLSpeed,encoderRSpeed,RControl
1755262021343,0.000000,0.000000,-9903522675466283634015600640.000000
1755262021346,-44.219997,0.000000,-9903521494874662916604297216.000000
1755262021346,0.000000,44.219997,-9903521494874662916604297216.000000
1755262021350,-44.219997,0.000000,-9903521494874662916604297216.000000
1755262021354,0.000000,44.219997,-9903520314283042199192993792.000000
1755262021354,-44.219997,0.000000,0.000000
1755262021357,-44.219997,44.219997,0.000000
1755262021357,0.000000,44.219997,0.000000
1755262021361,-44.219997,0.000000,0.000000
1755262021361,0.000000,0.000000,0.000000
1755262021364,-44.219997,44.219997,38685649286098225727537152.000000
1755262021364,0.000000,0.000000,38685653897784244154925056.000000
1755262021368,-44.219997,0.000000,38685653897784244154925056.000000
1755262021372,0.000000,0.000000,38685649286098225727537152.000000
1755262021373,0.000000,0.000000,38685649286098225727537152.000000
1755262021377,-44.219997,0.000000,2305844383603228672.000000
1755262021377,0.000000,0.000000,2305844108725321728.000000
1755262021377,0.000000,0.000000,2305843558969507840.000000
1755262021381,0.000000,0.000000,2305843284091600896.000000
1755262021381,0.000000,0.000000,2305843284091600896.000000
1755262021385,0.000000,0.000000,512.000000
1755262021385,0.000000,0.000000,512.000061
1755262021388,0.000000,0.000000,512.000061
1755262021393,44.219997,-44.219997,512.000122
1755262021393,0.000000,0.000000,512.000244
1755262021393,0.000000,0.000000,0.000488
1755262021397,0.000000,0.000000,0.000488
1755262021397,0.000000,0.000000,0.000488
1755262021401,0.000000,0.000000,0.000488
1755262021401,0.000000,44.219997,0.000488
1755262021405,0.000000,0.000000,-0.000000
1755262021405,0.000000,0.000000,-0.000000
1755262021410,0.000000,0.000000,-0.000000
1755262021410,0.000000,0.000000,-0.000000
1755262021414,-44.219997,44.219997,-0.000000
1755262021417,0.000000,0.000000,-0.000000
1755262021417,0.000000,0.000000,-0.000000
1755262021421,-44.219997,44.219997,-0.000000
1755262021421,0.000000,0.000000,-0.000000
1755262021426,0.000000,44.219997,-0.000000
1755262021426,-44.219997,0.000000,0.000000
1755262021429,0.000000,0.000000,0.000000
1755262021430,-44.219997,44.219997,0.000000
1755262021433,0.000000,0.000000,0.000000
1755262021433,-44.219997,44.219997,0.000000
1755262021437,0.000000,0.000000,9444734091639197270016.000000
1755262021437,-44.219997,0.000000,9444734091639197270016.000000
1755262021441,0.000000,0.000000,9444734091639197270016.000000
1755262021441,-44.219997,44.219997,9444734091639197270016.000000
1755262021446,0.000000,0.000000,9444734091639197270016.000000
1755262021446,-44.219997,0.000000,-8.000000
1755262021449,0.000000,0.000000,-8.000000
1755262021449,-44.219997,0.000000,-8.000001
1755262021453,0.000000,44.219997,-8.000001
1755262021453,0.000000,0.000000,-8.000001
1755262021457,0.000000,0.000000,-0.000000
1755262021461,-44.219997,0.000000,-0.000000
1755262021461,0.000000,0.000000,-0.000000
1755262021465,0.000000,0.000000,-0.000000
1755262021465,44.219997,0.000000,-0.000000
1755262021469,0.000000,0.000000,-0.000000
1755262021469,0.000000,0.000000,-0.000000
1755262021472,0.000000,0.000000,-0.000000
1755262021472,0.000000,0.000000,-0.000000
1755262021476,44.219997,0.000000,-0.000000
1755262021476,0.000000,0.000000,0.000000
1755262021480,0.000000,0.000000,0.000000
1755262021480,0.000000,0.000000,0.000000
1755262021483,0.000000,0.000000,0.000000
1755262021483,0.000000,0.000000,0.000000
1755262021487,0.000000,0.000000,0.000000
1755262021487,0.000000,0.000000,0.000000
1755262021491,0.000000,0.000000,0.000000
1755262021491,0.000000,44.219997,0.000000
1755262021495,0.000000,0.000000,0.000000
1755262021498,0.000000,0.000000,-0.000000
1755262021498,0.000000,0.000000,-0.000000
1755262021502,0.000000,44.219997,-0.000000
1755262021502,0.000000,0.000000,-0.000000
1755262021506,-44.219997,0.000000,-0.000000
1755262021506,0.000000,44.219997,-2658457259220431974037015617263894528.000000
1755262021510,0.000000,0.000000,-2658456942307781916979665243088093184.000000
1755262021510,-44.219997,0.000000,-2658456625395131859922314868912291840.000000
1755262021514,0.000000,44.219997,-2658456625395131859922314868912291840.000000
1755262021518,0.000000,0.000000,-2658456625395131859922314868912291840.000000
1755262021518,0.000000,0.000000,32768.007813
1755262021521,-44.219997,0.000000,32768.007813
1755262021522,0.000000,44.219997,32768.007813
1755262021525,0.000000,0.000000,32768.003906
1755262021525,-44.219997,0.000000,32768.003906
1755262021529,0.000000,0.000000,-0.000000
1755262021529,0.000000,0.000000,-0.000000
1755262021533,-44.219997,44.219997,-0.000000
1755262021533,0.000000,0.000000,-0.000000
1755262021537,0.000000,0.000000,-0.000000
1755262021537,-44.219997,0.000000,0.000000
1755262021541,0.000000,0.000000,0.000000
1755262021541,0.000000,44.219997,0.000000
1755262021545,-44.219997,0.000000,0.000000
1755262021545,0.000000,0.000000,0.000000
1755262021548,0.000000,0.000000,36893488147419103232.000000
1755262021552,0.000000,0.000000,36893488147419103232.000000
1755262021552,-44.219997,0.000000,36893492545465614336.000000
1755262021556,0.000000,0.000000,36893496943512125440.000000
1755262021556,0.000000,0.000000,36893496943512125440.000000
1755262021560,0.000000,0.000000,144115205255725056.000000
1755262021560,0.000000,0.000000,144115205255725056.000000
1755262021563,-44.219997,0.000000,144115222435594240.000000
1755262021563,0.000000,0.000000,144115239615463424.000000
1755262021568,0.000000,0.000000,144115239615463424.000000
1755262021568,0.000000,0.000000,512.000183
1755262021572,0.000000,0.000000,512.000183
1755262021572,0.000000,0.000000,512.000244
1755262021576,0.000000,44.219997,512.000183
1755262021576,0.000000,0.000000,512.000122
1755262021579,0.000000,0.000000,-0.000000
1755262021579,0.000000,0.000000,-0.000000
1755262021583,0.000000,0.000000,-0.000000
1755262021586,0.000000,0.000000,-0.000000
1755262021586,0.000000,0.000000,-0.000000
1755262021590,0.000000,0.000000,-0.000000
1755262021590,0.000000,0.000000,-0.000000
1755262021594,0.000000,0.000000,-0.000000
1755262021594,0.000000,44.219997,-0.000000
1755262021598,0.000000,0.000000,-0.000000
1755262021601,0.000000,0.000000,-10633830304532328124377463965758783488.000000
1755262021602,0.000000,0.000000,-10633831572182928352606865462461988864.000000
1755262021605,0.000000,44.219997,-10633830304532328124377463965758783488.000000
